run-id,episode,total_reward,avg_reward,avg_waiting_time,epsilon,lr,gamma
policy_v2_explored,307,-56.9599,-2.3733,2.3733,0.08465,0.05,0.99
policy_v2_explored,308,-46.9599,-1.9567,1.9567,0.0846,0.05,0.99
policy_v2_explored,309,-76.9599,-3.2067,3.2067,0.08455,0.05,0.99
policy_v2_explored,310,-175.9599,-7.3317,7.3317,0.0845,0.05,0.99
policy_v2_explored,311,-54.9599,-2.29,2.29,0.08445,0.05,0.99
policy_v2_explored,312,-51.9599,-2.165,2.165,0.0844,0.05,0.99
policy_v2_explored,313,-46.9599,-1.9567,1.9567,0.08435,0.05,0.99
policy_v2_explored,314,-46.9599,-1.9567,1.9567,0.0843,0.05,0.99
policy_v2_explored,315,-56.9599,-2.3733,2.3733,0.08425,0.05,0.99
policy_v2_explored,316,-46.9599,-1.9567,1.9567,0.0842,0.05,0.99
policy_v2_explored,317,-264.9599,-11.04,11.04,0.08415,0.05,0.99
policy_v2_explored,318,-155.9599,-6.4983,6.4983,0.0841,0.05,0.99
policy_v2_explored,319,-346.6462,-14.4436,14.4436,0.08405,0.05,0.99
policy_v2_explored,320,-38.9599,-1.6233,1.6233,0.084,0.05,0.99
policy_v2_explored,321,-243.6087,-10.1504,10.1504,0.08395,0.05,0.99
policy_v2_explored,322,-54.9599,-2.29,2.29,0.0839,0.05,0.99
policy_v2_explored,323,-76.9599,-3.2067,3.2067,0.08385,0.05,0.99
policy_v2_explored,324,-56.9599,-2.3733,2.3733,0.0838,0.05,0.99
policy_v2_explored,325,-67.9599,-2.8317,2.8317,0.08375,0.05,0.99
policy_v2_explored,326,-55.1363,-2.2973,2.2973,0.0837,0.05,0.99
policy_v2_explored,327,-46.1363,-1.9223,1.9223,0.08365,0.05,0.99
policy_v2_explored,328,-242.4676,-10.1028,10.1028,0.0836,0.05,0.99
policy_v2_explored,329,-76.9599,-3.2067,3.2067,0.08355,0.05,0.99
policy_v2_explored,330,-55.9599,-2.3317,2.3317,0.0835,0.05,0.99
policy_v2_explored,331,-58.1363,-2.4223,2.4223,0.08345,0.05,0.99
policy_v2_explored,332,-253.4676,-10.5611,10.5611,0.0834,0.05,0.99
policy_v2_explored,333,-231.6087,-9.6504,9.6504,0.08335,0.05,0.99
policy_v2_explored,334,-57.1363,-2.3807,2.3807,0.0833,0.05,0.99
policy_v2_explored,335,-84.9599,-3.54,3.54,0.08325,0.05,0.99
policy_v2_explored,336,-166.9599,-6.9567,6.9567,0.0832,0.05,0.99
policy_v2_explored,337,-60.6462,-2.5269,2.5269,0.08315,0.05,0.99
policy_v2_explored,338,-136.9599,-5.7067,5.7067,0.0831,0.05,0.99
